day,date,weight,start_time,run_type,distance_type,weather,location,run_shoes,distance,total_time,average_pace,splits,notes
Sunday,3/17/2013,,,,,,,,,,,,
Monday,3/18/2013,,,,,,,,,,,,
Tuesday,3/19/2013,,,,,,,,,,,,
Wednesday,3/20/2013,,,,,,,,,,,,
Thursday,3/21/2013,,,,,,,,,,,,
Friday,3/22/2013,,,,,,,,,,,,
Saturday,3/23/2013,,,,,,,,,,,,
Sunday,3/24/2013,,,,,,,,,,,,
Monday,3/25/2013,,,,,,,,,,,,
Tuesday,3/26/2013,,,,,,,,,,,,
Wednesday,3/27/2013,,,,,,,,,,,,
Thursday,3/28/2013,,,,,,,,,,,,
Friday,3/29/2013,,,,,,,,,,,,
Saturday,3/30/2013,,,,,,,,,,,,
Sunday,3/31/2013,,,,,,,,,,,,
Monday,4/1/2013,,,,,,,,,,,,
Tuesday,4/2/2013,,,,,,,,,,,,
Wednesday,4/3/2013,,,,,,,,,,,,
Thursday,4/4/2013,,,,,,,,,,,,
Friday,4/5/2013,,,,,,,,,,,,
Saturday,4/6/2013,,10:33 AM,,Short Distance,"59,clear",Bonterra Village,Nike Air Relentless,2.19,0:18:48,8:34,"7:54,9:08",
Sunday,4/7/2013,,,,,,,,,,,,
Monday,4/8/2013,,4:40 PM,,Short Distance,"75,cloudy",Bonterra Village,Nike Air Relentless,2.51,0:21:20,8:30,"8:06,8:53",
Tuesday,4/9/2013,,4:37 PM,,Short Distance,"79,partly cloudy",Bonterra Village,Nike Air Relentless,2:57,0:21:36,8:25,"7:58,8:50",
Wednesday,4/10/2013,,,,,,,,,,,,
Thursday,4/11/2013,,10:11 AM,,Short Distance,"70,cloudy",Bonterra Village,Nike Air Relentless,2.58,0:22:13,8:36,"7:51,8:45",
Friday,4/12/2013,,11:12 AM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.45,0:22:01,8:58,"7:50,9:49",
Saturday,4/13/2013,,,,,,,,,,,,
Sunday,4/14/2013,,,,,,,,,,,,
Monday,4/15/2013,,,,,,,,,,,,
Tuesday,4/16/2013,,7:10 PM,,Short Distance,"72,sunny",Bonterra Village,Nike Air Relentless,2.55,0:22:10,8:42,"8:06,9:10",
Wednesday,4/17/2013,,,,,,,,,,,,
Thursday,4/18/2013,,12:00 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.05,0:17:36,8:36,"7:51,9:21",
Friday,4/19/2013,,,,,,,,,,,,
Saturday,4/20/2013,,11:35 AM,,Short Distance,"57,sunny",Bonterra Village,Nike Air Relentless,2.59,0:21:11,8:11,"7:54,8:24",
Sunday,4/21/2013,,,,,,,,,,,,
Monday,4/22/2013,,7:35 PM,,Short Distance,"55,sunny",Bonterra Village,Nike Air Relentless,1.95,0:16:11,8:18,7:35,
Tuesday,4/23/2013,,,,,,,,,,,,
Wednesday,4/24/2013,,,,,,,,,,,,
Thursday,4/25/2013,,4:56 PM,,Short Distance,"70,sunny",Bonterra Village,Nike Air Relentless,2.53,0:20:12,7:59,"7:19,8:24",
Friday,4/26/2013,,,,,,,,,,,,
Saturday,4/27/2013,,,,,,,,,,,,
Sunday,4/28/2013,,,,,,,,,,,,
Monday,4/29/2013,,,,,,,,,,,,
Tuesday,4/30/2013,,,,,,,,,,,,
Wednesday,5/1/2013,,,,,,,,,,,,
Thursday,5/2/2013,,,,,,,,,,,,
Friday,5/3/2013,,,,,,,,,,,,
Saturday,5/4/2013,,11:01 AM,,Short Distance,"52,cloudy",Bonterra Village,Nike Air Relentless,2.53,0:20:29,8:05,"7:34,8:40",
Sunday,5/5/2013,,,,,,,,,,,,
Monday,5/6/2013,,7:40 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.52,0:20:17,8:02,"7:28,8:19",
Tuesday,5/7/2013,,4:07 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.54,0:20:51,8:12,"6:59,9:04",
Wednesday,5/8/2013,,6:18 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.5,0:20:10,8:05,"7:02,8:48",
Thursday,5/9/2013,,,,,,,,,,,,
Friday,5/10/2013,,,,,,,,,,,,
Saturday,5/11/2013,,11:08 AM,,Short Distance,"79,sunny",Bonterra Village,Nike Air Relentless,2.82,0:23:12,8:14,"6:55,8:50",
Sunday,5/12/2013,,,,,,,,,,,,
Monday,5/13/2013,,10:58 AM,,Short Distance,"63, sunny",Bonterra Village,Nike Air Relentless,3.53,0:28:39,8:06,"6:56,7:45,9:25",
Tuesday,5/14/2013,,,,,,,,,,,,
Wednesday,5/15/2013,,10:03 AM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.4,0:19:14,8:01,"6:59,8:22",
Thursday,5/16/2013,,9:50 AM,,Short Distance,"79,sunny",Bonterra Village,Nike Air Relentless,2.72,0:21:50,8:01,"6:59,8:39",
Friday,5/17/2013,,,,,,,,,,,,
Saturday,5/18/2013,,,,,,,,,,,,
Sunday,5/19/2013,,,,,,,,,,,,
Monday,5/20/2013,,,,,,,,,,,,
Tuesday,5/21/2013,,6:59 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.13,0:24:45,7:53,"6:56,7:38,8:56",
Wednesday,5/22/2013,,7:01 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.24,0:26:37,8:13,"6:55,8:43,8:49",
Thursday,5/23/2013,,7:03 PM,,Short Distance,"75,sunny",Bonterra Village,Nike Air Relentless,3.24,0:26:24,8:08,"7:01,7:48,9:25",
Friday,5/24/2013,,7:51 PM,,Short Distance,"63,sunny",Bonterra Village,Nike Air Relentless,3.27,0:26:00,7:57,"7:09,7:45,8:47",
Saturday,5/25/2013,,7:29 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5,0:40:30,8:06,"7:18,7:59,8:13,8:32,8:26",
Sunday,5/26/2013,,7:13 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5.03,0:40:33,8:03,"7:23,7:55,8:02,8:27,8:27",
Monday,5/27/2013,,7:33 PM,,Mid Distance,"73,sunny",Bonterra Village,Nike Air Relentless,5.14,0:41:07,8:00,"7:19,7:55,8:04,8:17,8:19",
Tuesday,5/28/2013,,7:34 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5.05,0:43:31,8:36,"7:04,7:47,9:07,9:20,9:41",
Wednesday,5/29/2013,,7:34 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.75,0:21:46,7:54,"7:26,8:13",
Thursday,5/30/2013,,8:35 PM,,Mid Distance,"70,clear",Bonterra Village,Nike Air Relentless,5.09,0:42:18,8:18,"7:15,7:43,9:03,8:32,8:53",
Friday,5/31/2013,,,,,,,,,,,,
Saturday,6/1/2013,,7:46 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.61,0:19:58,7:38,"6:51,8:00",
Sunday,6/2/2013,,,,,,,,,,,,
Monday,6/3/2013,,,,,,,,,,,,
Tuesday,6/4/2013,,7:25 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.53,0:28:03,7:57,"7:04,8:22,8:15",
Wednesday,6/5/2013,,7:03 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.44,0:27:17,7:56,"6:50,7:50,9:05",
Thursday,6/6/2013,,,,,,,,,,,,
Friday,6/7/2013,,,,,,,,,,,,
Saturday,6/8/2013,,,,,,,,,,,,
Sunday,6/9/2013,,,,Mid Distance,"72,rain",Bonterra Village,Nike Air Relentless,5.06,0:41:47,8:15,"6:53,7:27,7:54,9:30,9:24",
Monday,6/10/2013,,,,,,,,,,,,
Tuesday,6/11/2013,,7:09 PM,,Mid Distance,"83,sunny",Bonterra Village,Nike Air Relentless,5.03,0:42:44,8:29,"7:07,8:03,8:51,8:40,9:42",
Wednesday,6/12/2013,,,,,,,,,,,,
Thursday,6/13/2013,,7:34 PM,,Short Distance,"68,sunny",Bonterra Village,Nike Air Relentless,2.52,0:19:05,7:34,"7:09,7:50",
Friday,6/14/2013,,8:05 PM,,Mid Distance,"68,clear",Bonterra Village,Nike Air Relentless,5.01,0:42:32,8:29,"7:25,8:56,8:42,8:59,8:23",
Saturday,6/15/2013,,,,,,,,,,,,
Sunday,6/16/2013,,7:28 PM,,Short Distance,"81,sunny",Bonterra Village,Nike Air Relentless,1.62,0:13:43,8:28,7:23,
Monday,6/17/2013,,,,,,,,,,,,
Tuesday,6/18/2013,,7:00 PM,,Short Distance,"79,sunny",Bonterra Village,Nike Air Relentless,2.34,0:18:09,7:44,"7:25,8:00",
Wednesday,6/19/2013,,,,,,,,,,,,
Thursday,6/20/2013,,7:42 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5.01,0:43:21,8:39,"7:39,8:15,8:49,9:20,9:10",
Friday,6/21/2013,,,,,,,,,,,,
Saturday,6/22/2013,,7:55 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5.01,0:42:00,8:22,"7:37,8:16,8:12,8:50,8:56",
Sunday,6/23/2013,,,,,,,,,,,,
Monday,6/24/2013,,7:40 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.25,1:02:28,8:36,"7:26,8:29,8:45,8:54,8:36,8:46,9:06",
Tuesday,6/25/2013,,,,,,,,,,,,
Wednesday,6/26/2013,,7:16 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.36,1:03:35,8:38,"7:25,7:58,8:37,8:59,9:16,8:32,9:30",
Thursday,6/27/2013,,,,,,,,,,,,
Friday,6/28/2013,,,,,,,,,,,,
Saturday,6/29/2013,,7:24 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.01,1:02:26,8:54,"7:21,7:54,8:44,8:47,9:04,9:36,10:48",
Sunday,6/30/2013,,,,,,,,,,,,
Monday,7/1/2013,,8:40 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5,0:43:26,8:40,"7:39,8:34,8:52,9:11,9:04",
Tuesday,7/2/2013,,,,,,,,,,,,
Wednesday,7/3/2013,,2:20 PM,,Short Distance,"79,sunny",Bonterra Village,Nike Air Relentless,3.71,0:30:15,8:08,"7:17,8:02,8:29",
Thursday,7/4/2013,,,,,,,,,,,,
Friday,7/5/2013,,8:38 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.31,1:07:42,9:15,"7:54,8:30,9:03,9:50,10:23,9:29,9:32",
Saturday,7/6/2013,,,,,,,,,,,,
Sunday,7/7/2013,,6:57 PM,,Short Distance,"81,cloudy",Bonterra Village,Nike Air Relentless,1.71,0:13:10,7:41,7:20,
Monday,7/8/2013,,7:10 PM,,Mid Distance,"79,sunny",Bonterra Village,Nike Air Relentless,7.41,1:01:29,8:26,"7:11,7:47,8:29,8:20,8:27,9:26,9:18",
Tuesday,7/9/2013,,,,,,,,,,,,
Wednesday,7/10/2013,,11:09 AM,,Mid Distance,"82,cloudy",Bonterra Village,Nike Air Relentless,7.41,1:04:27,8:41,"7:16,7:47,8:28,9:16,8:50,9:25,9:43",
Thursday,7/11/2013,,,,,,,,,,,,
Friday,7/12/2013,,10:39 AM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.31,1:05:22,8:56,"7:16,8:21,8:23,9:26,9:30,9:56,9:50",
Saturday,7/13/2013,,,,,,,,,,,,
Sunday,7/14/2013,,7:15 PM,,Mid Distance,"75,sunny",Bonterra Village,Nike Air Relentless,6.51,0:58:02,8:54,"7:39,8:17,8:25,8:55,9:43,9:41",
Monday,7/15/2013,,,,,,,,,,,,
Tuesday,7/16/2013,,,,,,,,,,,,
Wednesday,7/17/2013,,10:25 AM,,Mid Distance,"84,sunny",Bonterra Village,Nike Air Relentless,7.3,1:07:45,9:17,"7:51,8:41,8:56,9:53,9:52,10:08,9:34",
Thursday,7/18/2013,,,,,,,,,,,,
Friday,7/19/2013,,8:07 AM,,Mid Distance,"81,sunny",Bonterra Village,Nike Air Relentless,5.74,0:52:54,9:13,"7:55,8:52,9:17,8:43,9:44",
Saturday,7/20/2013,,,,,,,,,,,,
Sunday,7/21/2013,,6:15 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.47,0:22:49,9:14,"7:43,9:02",
Monday,7/22/2013,,,,,,,,,,,,
Tuesday,7/23/2013,,,,,,,,,,,,
Wednesday,7/24/2013,,4:22 PM,,Mid Distance,"87,sunny",Bonterra Village,Nike Air Relentless,7.52,1:10:21,9:21,"7:40,8:47,8:53,9:35,9:39,10:17,10:24",
Thursday,7/25/2013,,,,,,,,,,,,
Friday,7/26/2013,,,,,,,,,,,,
Saturday,7/27/2013,,8:36 PM,,Short Distance,"70,cloudy",Bonterra Village,Nike Air Relentless,2.55,0:23:43,9:18,"8:43,9:37",
Sunday,7/28/2013,,,,,,,,,,,,
Monday,7/29/2013,,,,,,,,,,,,
Tuesday,7/30/2013,,7:36 PM,,Long Distance,"77,sunny",Bonterra Village,Nike Air Relentless,8.19,1:14:56,9:09,"8:06,8:17,8:42,9:04,9:21,9:32,9:54,10:08",
Wednesday,7/31/2013,,,,,,,,,,,,
Thursday,8/1/2013,,,,,,,,,,,,
Friday,8/2/2013,,,,,,,,,,,,
Saturday,8/3/2013,,10:08 AM,,Short Distance,"82,cloudy",Bonterra Village,Nike Air Relentless,3.49,0:30:18,8:40,"7:48,8:13,9:17",
Sunday,8/4/2013,,,,,,,,,,,,
Monday,8/5/2013,,9:10 AM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.26,1:06:50,9:12,"7:55,8:46,9:02,9:58,8:52,10:10,9:33",
Tuesday,8/6/2013,,,,,,,,,,,,
Wednesday,8/7/2013,,7:55 PM,,Mid Distance,"76,sunny",Bonterra Village,Nike Air Relentless,7.04,1:06:15,9:25,"7:59,9:04,8:57,9:47,9:34,9:44,10:40",
Thursday,8/8/2013,,,,,,,,,,,,
Friday,8/9/2013,,,,,,,,,,,,
Saturday,8/10/2013,,,,,,,,,,,,
Sunday,8/11/2013,,9:11 AM,,Short Distance,"82,sunny",Bonterra Village,Nike Air Relentless,4.81,0:45:29,9:27,"8:14,9:12,9:27,10:42",
Monday,8/12/2013,,,,,,,,,,,,
Tuesday,8/13/2013,,7:17 PM,,Mid Distance,"78,sunny",Bonterra Village,Nike Air Relentless,7.4,1:09:09,9:20,"8:02,9:16,9:07,9:13,9:56,9:19,10:25",
Wednesday,8/14/2013,,,,,,,,,,,,
Thursday,8/15/2013,,7:33 PM,,Long Distance,"66,sunny",Bonterra Village,Nike Air Relentless,8.12,1:16:44,9:26,"8:18,9:09,9:27,9:21,10:06,9:37,9:54,9:46",
Friday,8/16/2013,,,,,,,,,,,,
Saturday,8/17/2013,,,,,,,,,,,,
Sunday,8/18/2013,,6:09 PM,,Mid Distance,"81,cloudy",Bonterra Village,Nike Air Relentless,5.72,0:50:44,8:52,"7:59,9:07,8:40,9:03,9:13",
Monday,8/19/2013,,,,,,,,,,,,
Tuesday,8/20/2013,,,,,,,,,,,,
Wednesday,8/21/2013,,7:21 PM,,Short Distance,"70,sunny",Bonterra Village,Nike Air Relentless,2.48,0:22:34,9:04,"8:15,9:27",
Thursday,8/22/2013,,,,,,,,,,,,
Friday,8/23/2013,,,,,,,,,,,,
Saturday,8/24/2013,,9:10 AM,,Mid Distance,"73,sunny",Bonterra Village,Nike Air Relentless,7.23,1:07:05,9:16,"7:52,8:59,9:02,9:38,9:32,10:14,9:39",
Sunday,8/25/2013,,,,,,,,,,,,
Monday,8/26/2013,,,,,,,,,,,,
Tuesday,8/27/2013,,7:19 PM,,Long Distance,"80,sunny",Bonterra Village,Nike Air Relentless,8.24,1:15:36,9:10,"8:11,9:32,8:49,9:23,9:28,9:06,9:23,9:19",
Wednesday,8/28/2013,,,,,,,,,,,,
Thursday,8/29/2013,,6:50 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.37,1:08:18,9:16,"7:44,9:16,9:16,9:13,9:14,9:39,10:28",
Friday,8/30/2013,,,,,,,,,,,,
Saturday,8/31/2013,,,,,,,,,,,,
Sunday,9/1/2013,,6:36 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,2.2,0:17:00,7:42,"7:48,7:39",
Monday,9/2/2013,,,,,,,,,,,,
Tuesday,9/3/2013,,7:15 PM,,Short Distance,"77,sunny",Bonterra Village,Nike Air Relentless,4.98,0:44:54,9:00,"7:40,9:46,8:39,9:11",
Wednesday,9/4/2013,,,,,,,,,,,,
Thursday,9/5/2013,,,,,,,,,,,,
Friday,9/6/2013,,,,,,,,,,,,
Saturday,9/7/2013,,7:02 PM,,Short Distance,"84,sunny",Bonterra Village,Nike Air Relentless,0.32,0:02:43,8:28,,
Sunday,9/8/2013,,,,,,,,,,,,
Monday,9/9/2013,,6:12 PM,,Mid Distance,"81,sunny",Bonterra Village,Nike Air Relentless,7.37,1:06:10,8:58,"7:53,8:56,8:41,8:55,8:56,9:27,9:58",
Tuesday,9/10/2013,,,,,,,,,,,,
Wednesday,9/11/2013,,6:03 PM,,Mid Distance,"84,sunny",Bonterra Village,Nike Air Relentless,5,0:43:39,8:44,"7:37,8:35,8:49,9:20,9:16",
Thursday,9/12/2013,,,,,,,,,,,,
Friday,9/13/2013,,,,,,,,,,,,
Saturday,9/14/2013,,,,,,,,,,,,
Sunday,9/15/2013,,,,,,,,,,,,
Monday,9/16/2013,,6:16 PM,,Short Distance,"75,sunny",Bonterra Village,Nike Air Relentless,3.11,0:26:31,8:30,"7:44,8:50,8:38",
Tuesday,9/17/2013,,,,,,,,,,,,
Wednesday,9/18/2013,,4:00 PM,,Short Distance,"73,sunny",Bonterra Village,Nike Air Relentless,4.55,0:37:17,8:11,"7:24,8:21,8:27,8:32,",
Thursday,9/19/2013,,,,,,,,,,,,
Friday,9/20/2013,,,,,,,,,,,,
Saturday,9/21/2013,,8:50 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.36,0:29:06,8:38,"7:38,9:13,9:10",
Sunday,9/22/2013,,,,,,,,,,,,
Monday,9/23/2013,,5:45 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,7.52,1:05:56,8:46,"7:44,8:32,8:41,8:49,9:00,8:36,9:17",
Tuesday,9/24/2013,,,,,,,,,,,,
Wednesday,9/25/2013,,,,,,,,,,,,
Thursday,9/26/2013,,,,,,,,,,,,
Friday,9/27/2013,,,,,,,,,,,,
Saturday,9/28/2013,,,,,,,,,,,,
Sunday,9/29/2013,,,,,,,,,,,,
Monday,9/30/2013,,,,,,,,,,,,
Tuesday,10/1/2013,,,,,,,,,,,,
Wednesday,10/2/2013,,,,,,,,,,,,
Thursday,10/3/2013,,,,,,,,,,,,
Friday,10/4/2013,,,,,,,,,,,,
Saturday,10/5/2013,,,,,,,,,,,,
Sunday,10/6/2013,,,,,,,,,,,,
Monday,10/7/2013,,,,,,,,,,,,
Tuesday,10/8/2013,,,,,,,,,,,,
Wednesday,10/9/2013,,5:00 PM,,Mid Distance,"70,sunny",Bonterra Village,Nike Air Relentless,5.06,0:42:29,8:23,"7:35,8:45,7:52,8:56,8:46",
Thursday,10/10/2013,,,,,,,,,,,,
Friday,10/11/2013,,,,,,,,,,,,
Saturday,10/12/2013,,9:34 AM,,Mid Distance,"70,sunny",Bonterra Village,Nike Air Relentless,4.98,0:45:02,9:03,"7:40,8:52,9:14,9:30",
Sunday,10/13/2013,,,,,,,,,,,,
Monday,10/14/2013,,5:39 PM,,Mid Distance,"63,cloudy",Bonterra Village,Nike Air Relentless,7.63,1:04:30,8:27,"7:21,8:25,8:30,8:20,8:45,8:43,8:57",
Tuesday,10/15/2013,,,,,,,,,,,,
Wednesday,10/16/2013,,6:00 PM,,Mid Distance,"70,sunny",Bonterra Village,Nike Air Relentless,7.31,1:05:35,8:58,"7:31,9:03,9:08,9:02",
Thursday,10/17/2013,,,,,,,,,,,,
Friday,10/18/2013,,7:43 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.61,0:31:48,8:48,"8:14,9:20,8:42",
Saturday,10/19/2013,,,,,,,,,,,,
Sunday,10/20/2013,,,,,,,,,,,,
Monday,10/21/2013,,,,,,,,,,,,
Tuesday,10/22/2013,,,,,,,,,,,,
Wednesday,10/23/2013,,1:41 PM,,Mid Distance,,Bonterra Village,Nike Air Relentless,5.34,0:48:27,9:03,"8:41,8:29,9:19,9:11,9:37",
Thursday,10/24/2013,,,,,,,,,,,,
Friday,10/25/2013,,,,,,,,,,,,
Saturday,10/26/2013,,5:55 PM,,Short Distance,"55,sunny",Bonterra Village,Nike Air Relentless,2.5,0:22:00,8:47,"7:33,9:21",
Sunday,10/27/2013,,7:08 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,3.93,0:35:45,9:05,"8:07,9:04,9:45",
Monday,10/28/2013,,,,,,,,,,,,
Tuesday,10/29/2013,,5:36 PM,,Mid Distance,,Bonterra Village,Nike Free 4.0,5.03,0:42:22,8:25,"7:46,8:48,8:15,8:35,8:35",
Wednesday,10/30/2013,,,,,,,,,,,,
Thursday,10/31/2013,,,,,,,,,,,,
Friday,11/1/2013,,,,,,,,,,,,
Saturday,11/2/2013,,6:15 PM,,Long Distance,,Bonterra Village,Nike Free 4.0,8.44,1:17:22,9:10,"7:39,8:48,8:55,9:08,9:29,9:19,9:41,9:02",
Sunday,11/3/2013,,,,,,,,,,,,
Monday,11/4/2013,,,,,,,,,,,,
Tuesday,11/5/2013,,,,,,,,,,,,
Wednesday,11/6/2013,,,,,,,,,,,,
Thursday,11/7/2013,,,,,,,,,,,,
Friday,11/8/2013,,,,,,,,,,,,
Saturday,11/9/2013,,,,,,,,,,,,
Sunday,11/10/2013,,9:57 AM,,Short Distance,"63,sunny",Bonterra Village,Nike Free 4.0,3.42,0:29:02,8:28,"7:19,8:54,9:08",
Monday,11/11/2013,,,,,,,,,,,,
Tuesday,11/12/2013,,,,,,,,,,,,
Wednesday,11/13/2013,,,,,,,,,,,,
Thursday,11/14/2013,,11:04 AM,,Mid Distance,"55,sunny",Bonterra Village,Nike Free 4.0,4.93,0:42:40,8:39,"7:28,9:00,9:12,8:45,",
Friday,11/15/2013,,,,,,,,,,,,
Saturday,11/16/2013,,,,,,,,,,,,
Sunday,11/17/2013,,,,,,,,,,,,
Monday,11/18/2013,,4:21 PM,,Long Distance,"68,sunny",Bonterra Village,Nike Free 4.0,8.27,1:12:55,8:49,"7:30,8:45,8:51,9:02,8:59,8:57,9:23,8:59",
Tuesday,11/19/2013,,,,,,,,,,,,
Wednesday,11/20/2013,,,,,,,,,,,,
Thursday,11/21/2013,,4:06 PM,,Mid Distance,"60,cloudy",Bonterra Village,Nike Free 4.0,7.45,1:05:01,8:43,"7:24,8:42,8:48,9:03,8:51,8:34,9:27",
Friday,11/22/2013,,,,,,,,,,,,
Saturday,11/23/2013,,11:19 AM,,Mid Distance,"57,cloudy",Bonterra Village,Nike Free 4.0,3.26,0:27:02,8:16,"7:35,8:48,8:15",
Sunday,11/24/2013,,,,,,,,,,,,
Monday,11/25/2013,,,,,,,,,,,,
Tuesday,11/26/2013,,,,,,,,,,,,
Wednesday,11/27/2013,,,,,,,,,,,,
Thursday,11/28/2013,,,,,,,,,,,,
Friday,11/29/2013,,5:17 PM,,Mid Distance,"41,sunny",Bonterra Village,Nike Free 4.0,7.39,1:04:23,8:42,"7:21,8:49,8:43,8:53,8:52,9:12,8:50",
Saturday,11/30/2013,,,,,,,,,,,,
Sunday,12/1/2013,,,,,,,,,,,,
Monday,12/2/2013,,,,,,,,,,,,
Tuesday,12/3/2013,,,,,,,,,,,,
Wednesday,12/4/2013,,3:34 PM,,Long Distance,"61,rain",Bonterra Village,Nike Free 4.0,8.29,1:13:10,8:49,"7:27,8:57,8:34,8:57,9:09,8:47,9:27,9:10",
Thursday,12/5/2013,,,,,,,,,,,,
Friday,12/6/2013,,,,,,,,,,,,
Saturday,12/7/2013,,6:38 PM,,Short Distance,"46,cloudy",Bonterra Village,Nike Free 4.0,3.35,30:17:00,9:02,"8:05,9:40,9:14",
Sunday,12/8/2013,,,,,,,,,,,,
Monday,12/9/2013,,,,,,,,,,,,
